wind_speed,normalized_power
0.0,0.01
0.5,0.01
1.0,0.01
1.5,0.01
2.0,0.01
2.5,0.015
3.0,0.028333333333333335
3.5,0.04666666666666667
4.0,0.06833333333333334
4.5,0.09500000000000001
5.0,0.12666666666666668
5.5,0.17166666666666666
6.0,0.21833333333333335
6.5,0.2833333333333334
7.0,0.3566666666666667
7.5,0.43333333333333335
8.0,0.505
8.5,0.5833333333333334
9.0,0.6575
9.5,0.7333333333333334
10.0,0.805
10.5,0.875
11.0,0.9283333333333333
11.5,0.9608333333333332
12.0,0.9683333333333333
12.5,0.9700000000000001
13.0,0.9700000000000001
13.5,0.9700000000000001
14.0,0.9700000000000001
14.5,0.9700000000000001
15.0,0.9700000000000001
15.5,0.9700000000000001
16.0,0.9700000000000001
16.5,0.9716666666666667
17.0,0.9700000000000001
17.5,0.9725
18.0,0.9779166666666668
18.5,0.9833333333333334
19.0,0.9700000000000001
19.5,0.9700000000000001
20.0,0.9700000000000001
20.5,0.9700000000000001
21.0,0.9700000000000001
21.5,0.9700000000000001
22.0,0.9700000000000001
22.5,0.9700000000000001
23.0,0.9700000000000001
23.5,0.9700000000000001
24.0,0.9700000000000001
24.5,0.9700000000000001
25.0,0.9700000000000001
25.5,0.9700000000000001
26.0,0.9700000000000001
26.5,0.9700000000000001
27.0,0.9700000000000001
27.5,0.9700000000000001
28.0,0.9700000000000001
28.5,0.9700000000000001
29.0,0.9700000000000001
29.5,0.9700000000000001
30.0,0.9700000000000001
